Waktu,ausmi
1/1/1948,-1.615
2/1/1948,-0.289
3/1/1948,-0.992
4/1/1948,-1.26
5/1/1948,-3.673
6/1/1948,-3.129
7/1/1948,-3.94
8/1/1948,-2.995
9/1/1948,-2.119
10/1/1948,-2.107
11/1/1948,0.802
12/1/1948,-0.428
1/1/1949,0.357
2/1/1949,1.927
3/1/1949,1.857
4/1/1949,0.289
5/1/1949,-0.958
6/1/1949,-2.219
7/1/1949,-2.318
8/1/1949,-1.998
9/1/1949,-1.819
10/1/1949,-0.371
11/1/1949,-0.067
12/1/1949,1.13
1/1/1950,1.779
2/1/1950,1.61
3/1/1950,0.818
4/1/1950,0.289
5/1/1950,1.205
6/1/1950,0.352
7/1/1950,-0.876
8/1/1950,-1.86
9/1/1950,-1.012
10/1/1950,1.643
11/1/1950,1.882
12/1/1950,2.019
1/1/1951,0.436
2/1/1951,1.092
3/1/1951,-0.203
4/1/1951,-0.899
5/1/1951,-0.822
6/1/1951,1.302
7/1/1951,-1.25
8/1/1951,0.667
9/1/1951,-0.958
10/1/1951,-1.165
11/1/1951,-1.975
12/1/1951,-1.688
1/1/1952,0.389
2/1/1952,-1.345
3/1/1952,-1.147
4/1/1952,-0.783
5/1/1952,1.323
6/1/1952,-0.971
7/1/1952,-1.503
8/1/1952,-0.301
9/1/1952,-2.223
10/1/1952,0.545
11/1/1952,-0.034
12/1/1952,-0.24
1/1/1953,0.108
2/1/1953,-0.533
3/1/1953,-0.552
4/1/1953,1.17
5/1/1953,-0.431
6/1/1953,-1.365
7/1/1953,-0.891
8/1/1953,0.072
9/1/1953,-2.194
10/1/1953,-0.361
11/1/1953,-0.997
12/1/1953,-1.189
1/1/1954,-0.054
2/1/1954,-1.197
3/1/1954,-0.917
4/1/1954,1.348
5/1/1954,-1.446
6/1/1954,-2.247
7/1/1954,-1.468
8/1/1954,-2.074
9/1/1954,-3.868
10/1/1954,-0.874
11/1/1954,-0.826
12/1/1954,-0.881
1/1/1955,-1.063
2/1/1955,0.174
3/1/1955,0.311
4/1/1955,-0.652
5/1/1955,1.271
6/1/1955,0.048
7/1/1955,-0.648
8/1/1955,-1.399
9/1/1955,-2.627
10/1/1955,-0.346
11/1/1955,-0.447
12/1/1955,-1.629
1/1/1956,-0.514
2/1/1956,1.317
3/1/1956,-0.124
4/1/1956,-0.651
5/1/1956,2.119
6/1/1956,0.232
7/1/1956,0.362
8/1/1956,-1.185
9/1/1956,-2.863
10/1/1956,-0.311
11/1/1956,-1.051
12/1/1956,0.194
1/1/1957,-0.636
2/1/1957,0.632
3/1/1957,0.243
4/1/1957,-0.989
5/1/1957,-1.62
6/1/1957,0.394
7/1/1957,1.106
8/1/1957,0.189
9/1/1957,-2.159
10/1/1957,-1.066
11/1/1957,-1.082
12/1/1957,-0.898
1/1/1958,-1.045
2/1/1958,-0.526
3/1/1958,-0.009
4/1/1958,-0.238
5/1/1958,-1.284
6/1/1958,-0.361
7/1/1958,1.158
8/1/1958,-0.913
9/1/1958,-0.78
10/1/1958,0.041
11/1/1958,-1.678
12/1/1958,-0.974
1/1/1959,0.688
2/1/1959,-1.601
3/1/1959,-0.001
4/1/1959,-0.773
5/1/1959,0.567
6/1/1959,-2.005
7/1/1959,-1.417
8/1/1959,-2.725
9/1/1959,-1.585
10/1/1959,-0.783
11/1/1959,-1.491
12/1/1959,0.118
1/1/1960,0.172
2/1/1960,-0.152
3/1/1960,0.032
4/1/1960,-0.06
5/1/1960,1.225
6/1/1960,-2.391
7/1/1960,-1.714
8/1/1960,-2.137
9/1/1960,-0.9
10/1/1960,-1.298
11/1/1960,-0.81
12/1/1960,-0.665
1/1/1961,-1.186
2/1/1961,-0.688
3/1/1961,-1.01
4/1/1961,-0.768
5/1/1961,-1.404
6/1/1961,-2.58
7/1/1961,-1.981
8/1/1961,-1.653
9/1/1961,-2.965
10/1/1961,-2.579
11/1/1961,-1.65
12/1/1961,-1.899
1/1/1962,0.616
2/1/1962,0.133
3/1/1962,-1.664
4/1/1962,-1.105
5/1/1962,0.2
6/1/1962,-2.251
7/1/1962,-1.799
8/1/1962,-1.743
9/1/1962,-2.259
10/1/1962,-0.152
11/1/1962,-1.28
12/1/1962,-0.982
1/1/1963,0.714
2/1/1963,-0.39
3/1/1963,0.204
4/1/1963,0.374
5/1/1963,0.79
6/1/1963,-0.457
7/1/1963,-1.82
8/1/1963,0.611
9/1/1963,-1.004
10/1/1963,-2.317
11/1/1963,-2.964
12/1/1963,-1.704
1/1/1964,-0.362
2/1/1964,-1.801
3/1/1964,0.434
4/1/1964,-0.643
5/1/1964,-0.411
6/1/1964,-0.366
7/1/1964,-0.052
8/1/1964,-0.812
9/1/1964,-0.724
10/1/1964,0.838
11/1/1964,1.077
12/1/1964,-1.436
1/1/1965,-0.424
2/1/1965,-1.087
3/1/1965,2.058
4/1/1965,-1.937
5/1/1965,-1.503
6/1/1965,-0.308
7/1/1965,-2.464
8/1/1965,-0.25
9/1/1965,-2.22
10/1/1965,-1.866
11/1/1965,-1.874
12/1/1965,-0.423
1/1/1966,0.054
2/1/1966,-0.148
3/1/1966,-1.087
4/1/1966,-0.819
5/1/1966,-1.718
6/1/1966,-0.664
7/1/1966,-1.866
8/1/1966,-0.377
9/1/1966,0.267
10/1/1966,-0.517
11/1/1966,-0.587
12/1/1966,-1.847
1/1/1967,1.649
2/1/1967,1.373
3/1/1967,0.844
4/1/1967,-1.316
5/1/1967,-0.733
6/1/1967,-0.366
7/1/1967,-0.249
8/1/1967,-0.225
9/1/1967,-1.313
10/1/1967,-1.065
11/1/1967,-1.176
12/1/1967,-0.039
1/1/1968,1.978
2/1/1968,1.695
3/1/1968,-0.252
4/1/1968,0.951
5/1/1968,5.345
6/1/1968,2.155
7/1/1968,1.818
8/1/1968,1.607
9/1/1968,-1.429
10/1/1968,-0.807
11/1/1968,-0.329
12/1/1968,-1.07
1/1/1969,-0.682
2/1/1969,0.804
3/1/1969,-0.015
4/1/1969,-0.571
5/1/1969,-0.325
6/1/1969,0.36
7/1/1969,-2.221
8/1/1969,-1.277
9/1/1969,-0.005
10/1/1969,-1.803
11/1/1969,-1.552
12/1/1969,0.08
1/1/1970,-1.575
2/1/1970,-0.357
3/1/1970,-0.354
4/1/1970,0.166
5/1/1970,0.292
6/1/1970,-1.727
7/1/1970,-1.596
8/1/1970,-0.966
9/1/1970,-0.046
10/1/1970,-0.637
11/1/1970,0.223
12/1/1970,0.768
1/1/1971,-0.009
2/1/1971,0.508
3/1/1971,1.546
4/1/1971,0.849
5/1/1971,1.24
6/1/1971,0.079
7/1/1971,-0.099
8/1/1971,-0.228
9/1/1971,-1.35
10/1/1971,0.068
11/1/1971,1.322
12/1/1971,0.258
1/1/1972,-0.248
2/1/1972,-0.476
3/1/1972,1.178
4/1/1972,-1.164
5/1/1972,-1.31
6/1/1972,-1.293
7/1/1972,-1.316
8/1/1972,-0.222
9/1/1972,-2.311
10/1/1972,-2.217
11/1/1972,-2.178
12/1/1972,-1.969
1/1/1973,0.329
2/1/1973,-0.476
3/1/1973,0.733
4/1/1973,-0.22
5/1/1973,0.277
6/1/1973,0.901
7/1/1973,-1.379
8/1/1973,0.065
9/1/1973,-0.237
10/1/1973,-1.581
11/1/1973,2.166
12/1/1973,0.193
1/1/1974,3.659
2/1/1974,0.496
3/1/1974,1.697
4/1/1974,0.901
5/1/1974,0.386
6/1/1974,0.043
7/1/1974,0.716
8/1/1974,1.237
9/1/1974,0.379
10/1/1974,0.159
11/1/1974,0.659
12/1/1974,-0.294
1/1/1975,-0.512
2/1/1975,0.615
3/1/1975,0.906
4/1/1975,1.124
5/1/1975,-0.361
6/1/1975,1.418
7/1/1975,-0.544
8/1/1975,0.618
9/1/1975,0.355
10/1/1975,2.154
11/1/1975,0.652
12/1/1975,1.187
1/1/1976,2.015
2/1/1976,0.543
3/1/1976,1.381
4/1/1976,-0.547
5/1/1976,-0.374
6/1/1976,-0.411
7/1/1976,0.242
8/1/1976,0.214
9/1/1976,0.351
10/1/1976,2.149
11/1/1976,0.765
12/1/1976,-0.194
1/1/1977,0.317
2/1/1977,0.316
3/1/1977,1.87
4/1/1977,-0.199
5/1/1977,1.367
